VJ_combination	demo1_IG	demo2_IG	demo3_IG
IGHV1-1_IGHJ1-M	0	0.0045662100456621	0
IGHV1-1_IGHJ1-Z1	0	0	0
IGHV1-1_IGHJ2-M	0	0.0045662100456621	0.00335570469798658
IGHV1-1_IGHJ2-Z1	0	0	0
IGHV1-1_IGHJ3-M	0	0	0.00335570469798658
IGHV1-1_IGHJ4-M	0	0	0.00335570469798658
IGHV1-1_IGHJ5-M	0	0	0
IGHV1-2_IGHJ1-M	0.00206611570247934	0	0
IGHV1-2_IGHJ1-Z1	0	0	0
IGHV1-2_IGHJ2-M	0.0103305785123967	0.0136986301369863	0
IGHV1-2_IGHJ2-Z1	0	0	0
IGHV1-2_IGHJ3-M	0.00206611570247934	0	0
IGHV1-2_IGHJ4-M	0.00413223140495868	0.0091324200913242	0
IGHV1-2_IGHJ5-M	0.00413223140495868	0.0091324200913242	0.00335570469798658
IGHV10-1_IGHJ1-M	0	0	0
IGHV10-1_IGHJ1-Z1	0	0	0
IGHV10-1_IGHJ2-M	0.00413223140495868	0	0
IGHV10-1_IGHJ2-Z1	0	0	0
IGHV10-1_IGHJ3-M	0	0	0
IGHV10-1_IGHJ4-M	0	0	0
IGHV10-1_IGHJ5-M	0	0.0045662100456621	0
IGHV11-1_IGHJ1-M	0	0	0
IGHV11-1_IGHJ1-Z1	0	0	0
IGHV11-1_IGHJ2-M	0.00413223140495868	0	0.00335570469798658
IGHV11-1_IGHJ2-Z1	0	0	0
IGHV11-1_IGHJ3-M	0	0.0091324200913242	0
IGHV11-1_IGHJ4-M	0	0	0.0167785234899329
IGHV11-1_IGHJ5-M	0	0	0
IGHV13S2_IGHJ1-M	0.00619834710743802	0.0045662100456621	0
IGHV13S2_IGHJ1-Z1	0	0	0
IGHV13S2_IGHJ2-M	0.00619834710743802	0	0.00335570469798658
IGHV13S2_IGHJ2-Z1	0	0	0
IGHV13S2_IGHJ3-M	0	0	0.375838926174497
IGHV13S2_IGHJ4-M	0.00413223140495868	0.0091324200913242	0
IGHV13S2_IGHJ5-M	0	0	0
IGHV14S1_IGHJ1-M	0.00206611570247934	0.0045662100456621	0
IGHV14S1_IGHJ1-Z1	0	0	0
IGHV14S1_IGHJ2-M	0.00413223140495868	0.0045662100456621	0
IGHV14S1_IGHJ2-Z1	0	0	0
IGHV14S1_IGHJ3-M	0.00206611570247934	0	0.00335570469798658
IGHV14S1_IGHJ4-M	0	0	0.104026845637584
IGHV14S1_IGHJ5-M	0	0.0136986301369863	0
IGHV1S3_IGHJ1-M	0.00413223140495868	0	0
IGHV1S3_IGHJ1-Z1	0	0	0
IGHV1S3_IGHJ2-M	0	0	0
IGHV1S3_IGHJ2-Z1	0	0	0
IGHV1S3_IGHJ3-M	0	0	0
IGHV1S3_IGHJ4-M	0	0	0
IGHV1S3_IGHJ5-M	0	0	0
IGHV1S4_IGHJ1-M	0	0.0045662100456621	0
IGHV1S4_IGHJ1-Z1	0	0	0
IGHV1S4_IGHJ2-M	0.00413223140495868	0	0
IGHV1S4_IGHJ2-Z1	0	0	0
IGHV1S4_IGHJ3-M	0	0	0
IGHV1S4_IGHJ4-M	0	0.0045662100456621	0
IGHV1S4_IGHJ5-M	0	0.0045662100456621	0
IGHV2-1_IGHJ1-M	0	0	0
IGHV2-1_IGHJ1-Z1	0	0	0
IGHV2-1_IGHJ2-M	0.00826446280991736	0	0
IGHV2-1_IGHJ2-Z1	0	0	0
IGHV2-1_IGHJ3-M	0	0	0
IGHV2-1_IGHJ4-M	0.00619834710743802	0	0
IGHV2-1_IGHJ5-M	0	0.0045662100456621	0
IGHV2-2_IGHJ1-M	0.00206611570247934	0	0
IGHV2-2_IGHJ1-Z1	0	0	0
IGHV2-2_IGHJ2-M	0.00413223140495868	0	0
IGHV2-2_IGHJ2-Z1	0	0	0
IGHV2-2_IGHJ3-M	0	0.0045662100456621	0
IGHV2-2_IGHJ4-M	0.00206611570247934	0.0045662100456621	0
IGHV2-2_IGHJ5-M	0	0.0045662100456621	0
IGHV3-2_IGHJ1-M	0.00206611570247934	0	0
IGHV3-2_IGHJ1-Z1	0	0	0
IGHV3-2_IGHJ2-M	0	0.045662100456621	0
IGHV3-2_IGHJ2-Z1	0	0	0
IGHV3-2_IGHJ3-M	0	0	0
IGHV3-2_IGHJ4-M	0	0.0045662100456621	0
IGHV3-2_IGHJ5-M	0.00206611570247934	0	0
IGHV4-1_IGHJ1-M	0	0	0
IGHV4-1_IGHJ1-Z1	0	0	0
IGHV4-1_IGHJ2-M	0	0.0182648401826484	0
IGHV4-1_IGHJ2-Z1	0	0	0
IGHV4-1_IGHJ3-M	0	0	0
IGHV4-1_IGHJ4-M	0.00206611570247934	0.0045662100456621	0
IGHV4-1_IGHJ5-M	0.00206611570247934	0	0
IGHV4-2_IGHJ1-M	0.0392561983471074	0.0045662100456621	0
IGHV4-2_IGHJ1-Z1	0	0	0
IGHV4-2_IGHJ2-M	0.0351239669421488	0	0.197986577181208
IGHV4-2_IGHJ2-Z1	0	0	0
IGHV4-2_IGHJ3-M	0.0206611570247934	0	0
IGHV4-2_IGHJ4-M	0.142561983471074	0.0091324200913242	0.0838926174496644
IGHV4-2_IGHJ5-M	0.00206611570247934	0	0
IGHV4-5_IGHJ1-M	0	0	0
IGHV4-5_IGHJ1-Z1	0	0	0
IGHV4-5_IGHJ2-M	0	0	0.0100671140939597
IGHV4-5_IGHJ2-Z1	0	0	0
IGHV4-5_IGHJ3-M	0.00206611570247934	0	0
IGHV4-5_IGHJ4-M	0.00206611570247934	0	0
IGHV4-5_IGHJ5-M	0	0	0
IGHV4-6-1_IGHJ1-M	0.00206611570247934	0	0
IGHV4-6-1_IGHJ1-Z1	0	0	0
IGHV4-6-1_IGHJ2-M	0.00413223140495868	0.246575342465753	0
IGHV4-6-1_IGHJ2-Z1	0	0	0
IGHV4-6-1_IGHJ3-M	0	0	0.00671140939597315
IGHV4-6-1_IGHJ4-M	0.00413223140495868	0.0045662100456621	0
IGHV4-6-1_IGHJ5-M	0	0	0
IGHV4-6-2_IGHJ1-M	0.00206611570247934	0	0
IGHV4-6-2_IGHJ1-Z1	0	0	0
IGHV4-6-2_IGHJ2-M	0	0	0
IGHV4-6-2_IGHJ2-Z1	0	0	0
IGHV4-6-2_IGHJ3-M	0	0	0
IGHV4-6-2_IGHJ4-M	0	0	0
IGHV4-6-2_IGHJ5-M	0.00206611570247934	0.0045662100456621	0
IGHV4-6-3_IGHJ1-M	0	0.0045662100456621	0.00335570469798658
IGHV4-6-3_IGHJ1-Z1	0	0	0
IGHV4-6-3_IGHJ2-M	0	0.0045662100456621	0.00335570469798658
IGHV4-6-3_IGHJ2-Z1	0	0	0
IGHV4-6-3_IGHJ3-M	0	0.0136986301369863	0
IGHV4-6-3_IGHJ4-M	0.00413223140495868	0	0.0100671140939597
IGHV4-6-3_IGHJ5-M	0	0	0
IGHV4-7_IGHJ1-M	0	0	0
IGHV4-7_IGHJ1-Z1	0	0	0
IGHV4-7_IGHJ2-M	0	0.0045662100456621	0
IGHV4-7_IGHJ2-Z1	0	0	0
IGHV4-7_IGHJ3-M	0	0	0
IGHV4-7_IGHJ4-M	0.00826446280991736	0	0
IGHV4-7_IGHJ5-M	0.00206611570247934	0.0045662100456621	0
IGHV4-8_IGHJ1-M	0.00413223140495868	0	0
IGHV4-8_IGHJ1-Z1	0	0	0
IGHV4-8_IGHJ2-M	0	0.0136986301369863	0
IGHV4-8_IGHJ2-Z1	0	0	0
IGHV4-8_IGHJ3-M	0.00206611570247934	0	0
IGHV4-8_IGHJ4-M	0	0	0
IGHV4-8_IGHJ5-M	0	0	0
IGHV4-9_IGHJ1-M	0	0.0045662100456621	0
IGHV4-9_IGHJ1-Z1	0	0	0
IGHV4-9_IGHJ2-M	0	0.0136986301369863	0
IGHV4-9_IGHJ2-Z1	0	0	0
IGHV4-9_IGHJ3-M	0	0	0
IGHV4-9_IGHJ4-M	0	0	0.00335570469798658
IGHV4-9_IGHJ5-M	0.00413223140495868	0	0
IGHV5-1-1_IGHJ1-M	0.00619834710743802	0	0.0503355704697987
IGHV5-1-1_IGHJ1-Z1	0	0	0
IGHV5-1-1_IGHJ2-M	0.00826446280991736	0.0182648401826484	0
IGHV5-1-1_IGHJ2-Z1	0	0	0
IGHV5-1-1_IGHJ3-M	0.00206611570247934	0	0
IGHV5-1-1_IGHJ4-M	0.00413223140495868	0.0182648401826484	0
IGHV5-1-1_IGHJ5-M	0	0	0
IGHV5-1-2_IGHJ1-M	0	0.0045662100456621	0.0335570469798658
IGHV5-1-2_IGHJ1-Z1	0	0	0
IGHV5-1-2_IGHJ2-M	0.00413223140495868	0	0
IGHV5-1-2_IGHJ2-Z1	0	0	0
IGHV5-1-2_IGHJ3-M	0	0.0045662100456621	0
IGHV5-1-2_IGHJ4-M	0.00206611570247934	0.0091324200913242	0
IGHV5-1-2_IGHJ5-M	0	0.0045662100456621	0
IGHV5-1-3_IGHJ1-M	0	0.0045662100456621	0.00335570469798658
IGHV5-1-3_IGHJ1-Z1	0	0	0
IGHV5-1-3_IGHJ2-M	0.012396694214876	0.0091324200913242	0.00335570469798658
IGHV5-1-3_IGHJ2-Z1	0	0	0
IGHV5-1-3_IGHJ3-M	0.00206611570247934	0.0136986301369863	0.00335570469798658
IGHV5-1-3_IGHJ4-M	0.00413223140495868	0.0091324200913242	0.00335570469798658
IGHV5-1-3_IGHJ5-M	0.012396694214876	0.0045662100456621	0
IGHV5-3_IGHJ1-M	0	0	0
IGHV5-3_IGHJ1-Z1	0	0	0
IGHV5-3_IGHJ2-M	0	0.0045662100456621	0
IGHV5-3_IGHJ2-Z1	0	0	0
IGHV5-3_IGHJ3-M	0	0	0.00335570469798658
IGHV5-3_IGHJ4-M	0.00206611570247934	0	0
IGHV5-3_IGHJ5-M	0	0	0
IGHV5-4_IGHJ1-M	0	0	0
IGHV5-4_IGHJ1-Z1	0	0	0
IGHV5-4_IGHJ2-M	0	0	0
IGHV5-4_IGHJ2-Z1	0	0	0
IGHV5-4_IGHJ3-M	0	0	0
IGHV5-4_IGHJ4-M	0	0	0
IGHV5-4_IGHJ5-M	0	0	0
IGHV5-5-1_IGHJ1-M	0.0103305785123967	0.0319634703196347	0
IGHV5-5-1_IGHJ1-Z1	0	0	0
IGHV5-5-1_IGHJ2-M	0.0330578512396694	0.0228310502283105	0.0134228187919463
IGHV5-5-1_IGHJ2-Z1	0	0	0
IGHV5-5-1_IGHJ3-M	0.0309917355371901	0	0
IGHV5-5-1_IGHJ4-M	0	0.0273972602739726	0
IGHV5-5-1_IGHJ5-M	0.00206611570247934	0.0136986301369863	0
IGHV5-5-2_IGHJ1-M	0.00206611570247934	0.0091324200913242	0
IGHV5-5-2_IGHJ1-Z1	0	0	0
IGHV5-5-2_IGHJ2-M	0.0103305785123967	0	0
IGHV5-5-2_IGHJ2-Z1	0	0	0
IGHV5-5-2_IGHJ3-M	0.00206611570247934	0.0045662100456621	0
IGHV5-5-2_IGHJ4-M	0.00619834710743802	0.0045662100456621	0.00335570469798658
IGHV5-5-2_IGHJ5-M	0.00413223140495868	0	0
IGHV5-5-3_IGHJ1-M	0	0	0
IGHV5-5-3_IGHJ1-Z1	0	0	0
IGHV5-5-3_IGHJ2-M	0.00206611570247934	0.0045662100456621	0
IGHV5-5-3_IGHJ2-Z1	0	0	0
IGHV5-5-3_IGHJ3-M	0	0	0
IGHV5-5-3_IGHJ4-M	0	0	0
IGHV5-5-3_IGHJ5-M	0	0	0
IGHV6-1_IGHJ1-M	0.00206611570247934	0.0045662100456621	0
IGHV6-1_IGHJ1-Z1	0	0	0
IGHV6-1_IGHJ2-M	0.00206611570247934	0	0.023489932885906
IGHV6-1_IGHJ2-Z1	0	0	0
IGHV6-1_IGHJ3-M	0.00206611570247934	0	0
IGHV6-1_IGHJ4-M	0	0.0182648401826484	0
IGHV6-1_IGHJ5-M	0.00206611570247934	0.0045662100456621	0
IGHV6-2_IGHJ1-M	0	0	0
IGHV6-2_IGHJ1-Z1	0	0	0
IGHV6-2_IGHJ2-M	0	0	0
IGHV6-2_IGHJ2-Z1	0	0	0
IGHV6-2_IGHJ3-M	0.00206611570247934	0	0
IGHV6-2_IGHJ4-M	0.00206611570247934	0	0
IGHV6-2_IGHJ5-M	0	0	0
IGHV7-1_IGHJ1-M	0	0	0
IGHV7-1_IGHJ1-Z1	0	0	0
IGHV7-1_IGHJ2-M	0	0.0045662100456621	0
IGHV7-1_IGHJ2-Z1	0	0	0
IGHV7-1_IGHJ3-M	0	0	0.00335570469798658
IGHV7-1_IGHJ4-M	0.00206611570247934	0	0
IGHV7-1_IGHJ5-M	0	0	0
IGHV8-2_IGHJ1-M	0.00413223140495868	0	0
IGHV8-2_IGHJ1-Z1	0	0	0
IGHV8-2_IGHJ2-M	0.00206611570247934	0	0
IGHV8-2_IGHJ2-Z1	0	0	0
IGHV8-2_IGHJ3-M	0	0.0045662100456621	0
IGHV8-2_IGHJ4-M	0.00413223140495868	0	0
IGHV8-2_IGHJ5-M	0	0	0
IGHV8-3_IGHJ1-M	0.00206611570247934	0	0
IGHV8-3_IGHJ1-Z1	0	0	0
IGHV8-3_IGHJ2-M	0.00206611570247934	0	0
IGHV8-3_IGHJ2-Z1	0	0	0
IGHV8-3_IGHJ3-M	0	0	0
IGHV8-3_IGHJ4-M	0.00206611570247934	0	0
IGHV8-3_IGHJ5-M	0	0	0
IGHV8-4_IGHJ1-M	0.00206611570247934	0	0
IGHV8-4_IGHJ1-Z1	0	0	0
IGHV8-4_IGHJ2-M	0	0	0
IGHV8-4_IGHJ2-Z1	0	0	0
IGHV8-4_IGHJ3-M	0	0	0
IGHV8-4_IGHJ4-M	0.00619834710743802	0.0045662100456621	0
IGHV8-4_IGHJ5-M	0	0.0091324200913242	0
IGHV9-1_IGHJ1-M	0.353305785123967	0.0136986301369863	0
IGHV9-1_IGHJ1-Z1	0	0	0
IGHV9-1_IGHJ2-M	0.012396694214876	0.114155251141553	0.00671140939597315
IGHV9-1_IGHJ2-Z1	0	0	0
IGHV9-1_IGHJ3-M	0	0	0
IGHV9-1_IGHJ4-M	0.0103305785123967	0.0136986301369863	0.00671140939597315
IGHV9-1_IGHJ5-M	0.0165289256198347	0.0091324200913242	0
IGHV9-2_IGHJ1-M	0	0	0
IGHV9-2_IGHJ1-Z1	0	0	0
IGHV9-2_IGHJ2-M	0	0	0
IGHV9-2_IGHJ2-Z1	0	0	0
IGHV9-2_IGHJ3-M	0	0	0
IGHV9-2_IGHJ4-M	0	0	0
IGHV9-2_IGHJ5-M	0	0	0
IGHV9-3_IGHJ1-M	0.0103305785123967	0.0091324200913242	0.00335570469798658
IGHV9-3_IGHJ1-Z1	0	0	0
IGHV9-3_IGHJ2-M	0.00206611570247934	0.0182648401826484	0
IGHV9-3_IGHJ2-Z1	0	0	0
IGHV9-3_IGHJ3-M	0.00619834710743802	0.0045662100456621	0
IGHV9-3_IGHJ4-M	0.00826446280991736	0.0136986301369863	0
IGHV9-3_IGHJ5-M	0	0	0
